,description,category
"('q4g_pat_uncle1_alc___4', 'baseline_year_1_arm_1')_1.0",paternal uncle TÃ­o paterno  (1) (Alcohol treatment program Programas por el uso de drogas),Medical History
"('q4g_pat_uncle1_alc___6', 'baseline_year_1_arm_1')_0.0","paternal uncle TÃ­o paterno  (1) (Isolated self,  arguments,  drunk a lot Se aÃ­slo de la familia,  Discusiones,  drogado/a con frecuencia)",Medical History
"('q4g_pat_uncle1_alc___6', 'baseline_year_1_arm_1')_1.0","paternal uncle TÃ­o paterno  (1) (Isolated self,  arguments,  drunk a lot Se aÃ­slo de la familia,  Discusiones,  drogado/a con frecuencia)",Medical History
"('q4g_pat_uncle1_alc___999', 'baseline_year_1_arm_1')_0.0",paternal uncle TÃ­o paterno  (1) (Don't know No sÃ©),Medical History
"('q4g_pat_uncle1_alc___999', 'baseline_year_1_arm_1')_1.0",paternal uncle TÃ­o paterno  (1) (Don't know No sÃ©),Medical History
"('q4g_pat_uncle2_alc___0', 'baseline_year_1_arm_1')_0.0",paternal uncle TÃ­o paterno  (2) (No Problems Sin Problemas),Medical History
"('q4g_pat_uncle2_alc___0', 'baseline_year_1_arm_1')_1.0",paternal uncle TÃ­o paterno  (2) (No Problems Sin Problemas),Medical History
"('q4g_pat_uncle2_alc___6', 'baseline_year_1_arm_1')_0.0","paternal uncle TÃ­o paterno  (2) (Isolated self,  arguments,  drunk a lot Se aÃ­slo de la familia,  Discusiones,  drogado/a con frecuencia)",Medical History
"('q4g_pat_uncle2_alc___6', 'baseline_year_1_arm_1')_1.0","paternal uncle TÃ­o paterno  (2) (Isolated self,  arguments,  drunk a lot Se aÃ­slo de la familia,  Discusiones,  drogado/a con frecuencia)",Medical History
"('q4g_pat_uncle3_alc___0', 'baseline_year_1_arm_1')_0.0",paternal uncle TÃ­o paterno  (3) (No Problems Sin Problemas),Medical History
"('q4g_pat_uncle3_alc___0', 'baseline_year_1_arm_1')_1.0",paternal uncle TÃ­o paterno  (3) (No Problems Sin Problemas),Medical History
"('q4g_pat_uncle4_alc___0', 'baseline_year_1_arm_1')_0.0",paternal uncle TÃ­o paterno  (4) (No Problems Sin Problemas),Medical History
"('q4g_pat_uncle4_alc___0', 'baseline_year_1_arm_1')_1.0",paternal uncle TÃ­o paterno  (4) (No Problems Sin Problemas),Medical History
"('q4h_pat_aunt1_alc___0', 'baseline_year_1_arm_1')_0.0",paternal aunt TÃ­a paterna  (1) (No Problems Sin Problemas),Medical History
"('q4h_pat_aunt1_alc___0', 'baseline_year_1_arm_1')_1.0",paternal aunt TÃ­a paterna  (1) (No Problems Sin Problemas),Medical History
"('q4h_pat_aunt1_alc___6', 'baseline_year_1_arm_1')_0.0","paternal aunt TÃ­a paterna  (1) (Isolated self,  arguments,  drunk a lot Se aÃ­slo de la familia,  Discusiones,  drogado/a con frecuencia)",Medical History
"('q4h_pat_aunt1_alc___6', 'baseline_year_1_arm_1')_1.0","paternal aunt TÃ­a paterna  (1) (Isolated self,  arguments,  drunk a lot Se aÃ­slo de la familia,  Discusiones,  drogado/a con frecuencia)",Medical History
"('q4h_pat_aunt1_alc___999', 'baseline_year_1_arm_1')_0.0",paternal aunt TÃ­a paterna  (1) (Don't know No sÃ©),Medical History
"('q4h_pat_aunt1_alc___999', 'baseline_year_1_arm_1')_1.0",paternal aunt TÃ­a paterna  (1) (Don't know No sÃ©),Medical History
"('q4h_pat_aunt2_alc___0', 'baseline_year_1_arm_1')_0.0",paternal aunt TÃ­a paterna  (2) (No Problems Sin Problemas),Medical History
"('q4h_pat_aunt2_alc___0', 'baseline_year_1_arm_1')_1.0",paternal aunt TÃ­a paterna  (2) (No Problems Sin Problemas),Medical History
"('q4h_pat_aunt3_alc___0', 'baseline_year_1_arm_1')_0.0",paternal aunt TÃ­a paterna  (3) (No Problems Sin Problemas),Medical History
"('q4h_pat_aunt3_alc___0', 'baseline_year_1_arm_1')_1.0",paternal aunt TÃ­a paterna  (3) (No Problems Sin Problemas),Medical History
"('q4h_pat_aunt4_alc___0', 'baseline_year_1_arm_1')_0.0",paternal aunt TÃ­a paterna  (4) (No Problems Sin Problemas),Medical History
"('q4h_pat_aunt4_alc___0', 'baseline_year_1_arm_1')_1.0",paternal aunt TÃ­a paterna  (4) (No Problems Sin Problemas),Medical History
"('q4i_mat_uncle1_alc___0', 'baseline_year_1_arm_1')_0.0",maternal uncle TÃ­o materno (1) (No Problems Sin Problemas),Medical History
"('q4i_mat_uncle1_alc___0', 'baseline_year_1_arm_1')_1.0",maternal uncle TÃ­o materno (1) (No Problems Sin Problemas),Medical History
"('q4i_mat_uncle1_alc___1', 'baseline_year_1_arm_1')_0.0",maternal uncle TÃ­o materno (1) (Marital Matrimonial),Medical History
"('q4i_mat_uncle1_alc___1', 'baseline_year_1_arm_1')_1.0",maternal uncle TÃ­o materno (1) (Marital Matrimonial),Medical History
"('q4i_mat_uncle1_alc___2', 'baseline_year_1_arm_1')_0.0",maternal uncle TÃ­o materno (1) (Work Laboral),Medical History
"('q4i_mat_uncle1_alc___2', 'baseline_year_1_arm_1')_1.0",maternal uncle TÃ­o materno (1) (Work Laboral),Medical History
"('q4i_mat_uncle1_alc___3', 'baseline_year_1_arm_1')_0.0",maternal uncle TÃ­o materno (1) (Arrests/DUI Arrestos/DUI),Medical History
"('q4i_mat_uncle1_alc___3', 'baseline_year_1_arm_1')_1.0",maternal uncle TÃ­o materno (1) (Arrests/DUI Arrestos/DUI),Medical History
"('q4i_mat_uncle1_alc___7', 'baseline_year_1_arm_1')_0.0",maternal uncle TÃ­o materno (1) (Health Salud),Medical History
"('q4i_mat_uncle1_alc___7', 'baseline_year_1_arm_1')_1.0",maternal uncle TÃ­o materno (1) (Health Salud),Medical History
"('q4i_mat_uncle1_alc___4', 'baseline_year_1_arm_1')_0.0",maternal uncle TÃ­o materno (1) (Alcohol treatment program Programas por el uso de drogas),Medical History
"('q4i_mat_uncle1_alc___4', 'baseline_year_1_arm_1')_1.0",maternal uncle TÃ­o materno (1) (Alcohol treatment program Programas por el uso de drogas),Medical History
"('q4i_mat_uncle1_alc___5', 'baseline_year_1_arm_1')_0.0",maternal uncle TÃ­o materno (1) (School Escolares),Medical History
"('q4i_mat_uncle1_alc___5', 'baseline_year_1_arm_1')_1.0",maternal uncle TÃ­o materno (1) (School Escolares),Medical History
"('q4i_mat_uncle1_alc___6', 'baseline_year_1_arm_1')_0.0","maternal uncle TÃ­o materno (1) (Isolated self,  arguments,  drunk a lot Se aÃ­slo de la familia,  Discusiones,  drogado/a con frecuencia)",Medical History
"('q4i_mat_uncle1_alc___6', 'baseline_year_1_arm_1')_1.0","maternal uncle TÃ­o materno (1) (Isolated self,  arguments,  drunk a lot Se aÃ­slo de la familia,  Discusiones,  drogado/a con frecuencia)",Medical History
"('q4i_mat_uncle2_alc___0', 'baseline_year_1_arm_1')_0.0",maternal uncle TÃ­o materno (2) (No Problems Sin Problemas),Medical History
"('q4i_mat_uncle2_alc___0', 'baseline_year_1_arm_1')_1.0",maternal uncle TÃ­o materno (2) (No Problems Sin Problemas),Medical History
"('q4i_mat_uncle3_alc___0', 'baseline_year_1_arm_1')_0.0",maternal uncle TÃ­o materno  (3) (No Problems Sin Problemas),Medical History
"('q4i_mat_uncle3_alc___0', 'baseline_year_1_arm_1')_1.0",maternal uncle TÃ­o materno  (3) (No Problems Sin Problemas),Medical History
"('q4i_mat_uncle4_alc___0', 'baseline_year_1_arm_1')_0.0",maternal uncle TÃ­o materno  (4) (No Problems Sin Problemas),Medical History
"('q4i_mat_uncle4_alc___0', 'baseline_year_1_arm_1')_1.0",maternal uncle TÃ­o materno  (4) (No Problems Sin Problemas),Medical History
"('q4j_mat_aunt1_alc___0', 'baseline_year_1_arm_1')_0.0",maternal aunt TÃ­a materna (1) (No Problems Sin Problemas),Medical History
"('q4j_mat_aunt1_alc___0', 'baseline_year_1_arm_1')_1.0",maternal aunt TÃ­a materna (1) (No Problems Sin Problemas),Medical History
"('q4j_mat_aunt1_alc___3', 'baseline_year_1_arm_1')_0.0",maternal aunt TÃ­a materna (1) (Arrests/DUI Arrestos/DUI),Medical History
"('q4j_mat_aunt1_alc___3', 'baseline_year_1_arm_1')_1.0",maternal aunt TÃ­a materna (1) (Arrests/DUI Arrestos/DUI),Medical History
"('q4j_mat_aunt1_alc___6', 'baseline_year_1_arm_1')_0.0","maternal aunt TÃ­a materna (1) (Isolated self,  arguments,  drunk a lot Se aÃ­slo de la familia,  Discusiones,  drogado/a con frecuencia)",Medical History
"('q4j_mat_aunt1_alc___6', 'baseline_year_1_arm_1')_1.0","maternal aunt TÃ­a materna (1) (Isolated self,  arguments,  drunk a lot Se aÃ­slo de la familia,  Discusiones,  drogado/a con frecuencia)",Medical History
"('q4j_mat_aunt2_alc___0', 'baseline_year_1_arm_1')_0.0",maternal aunt TÃ­a materna  (2) (No Problems Sin Problemas),Medical History
"('q4j_mat_aunt2_alc___0', 'baseline_year_1_arm_1')_1.0",maternal aunt TÃ­a materna  (2) (No Problems Sin Problemas),Medical History
"('q4j_mat_aunt3_alc___0', 'baseline_year_1_arm_1')_0.0",maternal aunt TÃ­a materna  (3) (No Problems Sin Problemas),Medical History
"('q4j_mat_aunt3_alc___0', 'baseline_year_1_arm_1')_1.0",maternal aunt TÃ­a materna  (3) (No Problems Sin Problemas),Medical History
"('q4j_mat_aunt4_alc___0', 'baseline_year_1_arm_1')_0.0",maternal aunt TÃ­a materna  (4) (No Problems Sin Problemas),Medical History
"('q4j_mat_aunt4_alc___0', 'baseline_year_1_arm_1')_1.0",maternal aunt TÃ­a materna  (4) (No Problems Sin Problemas),Medical History
"('q4k_full_sib_young1_alc___0', 'baseline_year_1_arm_1')_0.0",full sibling-younger Hermano(a) de doble vÃ­nculo- menor    (1) (No Problems Sin Problemas),Medical History
"('q4k_full_sib_young1_alc___0', 'baseline_year_1_arm_1')_1.0",full sibling-younger Hermano(a) de doble vÃ­nculo- menor    (1) (No Problems Sin Problemas),Medical History
"('q4k_full_sib_young2_alc___0', 'baseline_year_1_arm_1')_0.0",full sibling-younger Hermano(a) de doble vÃ­nculo- menor    (2) (No Problems Sin Problemas),Medical History
"('q4k_full_sib_young2_alc___0', 'baseline_year_1_arm_1')_1.0",full sibling-younger Hermano(a) de doble vÃ­nculo- menor    (2) (No Problems Sin Problemas),Medical History
"('q4k_full_sib_young3_alc___0', 'baseline_year_1_arm_1')_0.0",full sibling-younger Hermano(a) de doble vÃ­nculo- menor    (3) (No Problems Sin Problemas),Medical History
"('q4k_full_sib_young3_alc___0', 'baseline_year_1_arm_1')_1.0",full sibling-younger Hermano(a) de doble vÃ­nculo- menor    (3) (No Problems Sin Problemas),Medical History
"('q4l_full_sib_old1_alc___0', 'baseline_year_1_arm_1')_0.0",full sibling-older Hermano(a) de doble vÃ­nculo- mayor  (1) (No Problems Sin Problemas),Medical History
"('q4l_full_sib_old1_alc___0', 'baseline_year_1_arm_1')_1.0",full sibling-older Hermano(a) de doble vÃ­nculo- mayor  (1) (No Problems Sin Problemas),Medical History
"('q4l_full_sib_old2_alc___0', 'baseline_year_1_arm_1')_0.0",full sibling-older Hermano(a) de doble vÃ­nculo- mayor  (2) (No Problems Sin Problemas),Medical History
"('q4l_full_sib_old2_alc___0', 'baseline_year_1_arm_1')_1.0",full sibling-older Hermano(a) de doble vÃ­nculo- mayor  (2) (No Problems Sin Problemas),Medical History
"('q4l_full_sib_old3_alc___0', 'baseline_year_1_arm_1')_0.0",full sibling-older Hermano(a) de doble vÃ­nculo- mayor  (3) (No Problems Sin Problemas),Medical History
"('q4l_full_sib_old3_alc___0', 'baseline_year_1_arm_1')_1.0",full sibling-older Hermano(a) de doble vÃ­nculo- mayor  (3) (No Problems Sin Problemas),Medical History
"('q4m_half_sib_young1_alc___0', 'baseline_year_1_arm_1')_0.0",half sibling-younger Medio Hermano(a)- menor  (1) (No Problems Sin Problemas),Medical History
"('q4m_half_sib_young1_alc___0', 'baseline_year_1_arm_1')_1.0",half sibling-younger Medio Hermano(a)- menor  (1) (No Problems Sin Problemas),Medical History
"('q4m_half_sib_young2_alc___0', 'baseline_year_1_arm_1')_0.0",half sibling-younger Medio Hermano(a)- menor (2) (No Problems Sin Problemas),Medical History
"('q4m_half_sib_young2_alc___0', 'baseline_year_1_arm_1')_1.0",half sibling-younger Medio Hermano(a)- menor (2) (No Problems Sin Problemas),Medical History
"('q4m_half_sib_young3_alc___0', 'baseline_year_1_arm_1')_0.0",half sibling-younger Medio Hermano(a)- menor  (3) (No Problems Sin Problemas),Medical History
"('q4m_half_sib_young3_alc___0', 'baseline_year_1_arm_1')_1.0",half sibling-younger Medio Hermano(a)- menor  (3) (No Problems Sin Problemas),Medical History
"('q4n_half_sib_old1_alc___0', 'baseline_year_1_arm_1')_0.0",half sibling-older Medio Hermano(a)- mayor  (1) (No Problems Sin Problemas),Medical History
"('q4n_half_sib_old1_alc___0', 'baseline_year_1_arm_1')_1.0",half sibling-older Medio Hermano(a)- mayor  (1) (No Problems Sin Problemas),Medical History
"('q4n_half_sib_old2_alc___0', 'baseline_year_1_arm_1')_0.0",half sibling-older Medio Hermano(a)- mayor  (2) (No Problems Sin Problemas),Medical History
"('q4n_half_sib_old2_alc___0', 'baseline_year_1_arm_1')_1.0",half sibling-older Medio Hermano(a)- mayor  (2) (No Problems Sin Problemas),Medical History
"('q4n_half_sib_old3_alc___0', 'baseline_year_1_arm_1')_0.0",half sibling-older Medio Hermano(a)- mayor  (3) (No Problems Sin Problemas),Medical History
"('q4n_half_sib_old3_alc___0', 'baseline_year_1_arm_1')_1.0",half sibling-older Medio Hermano(a)- mayor  (3) (No Problems Sin Problemas),Medical History
"('q4n_half_sib_old4_alc___0', 'baseline_year_1_arm_1')_0.0",half sibling-older Medio Hermano(a)- mayor  (4) (No Problems Sin Problemas),Medical History
"('q4n_half_sib_old4_alc___0', 'baseline_year_1_arm_1')_1.0",half sibling-older Medio Hermano(a)- mayor  (4) (No Problems Sin Problemas),Medical History
"('q4m_full_sib_same1_alc___0', 'baseline_year_1_arm_1')_0.0",full sibling-same age Hermano(a) de doble vÃ­nculo- con la misma edad   (1) (No Problems Sin Problemas),Medical History
"('q4m_full_sib_same1_alc___0', 'baseline_year_1_arm_1')_1.0",full sibling-same age Hermano(a) de doble vÃ­nculo- con la misma edad   (1) (No Problems Sin Problemas),Medical History
"('fam_history_5_yes_no', 'baseline_year_1_arm_1')_0.0","5. Has ANY blood relative of your child ever had any problems due to drugs, such as: Marital  separation or divorce; Laid off or fired from work; Arrests or DUIs; Drugs harmed their health; In a drug treatment program; Suspended or expelled from school 2 or more times; Isolated self from family, caused arguments or were high a lot. ¿ALGÚN pariente consanguíneo de su niño(a) ha tenido alguna vez problemas debido a las drogas, tal como una separación o divorcio, despido o cese laboral, arrestos o multas por conducir bajo la influencia de drogas, Ingresó a un programa de tratamiento contra la drogadicción, suspensión o expulsión de la escuela en 2 o más ocasiones, se aisló de la familia, provocó conflictos o con frecuencia estaba drogado?",Medical History
"('fam_history_5_yes_no', 'baseline_year_1_arm_1')_1.0","5. Has ANY blood relative of your child ever had any problems due to drugs, such as: Marital  separation or divorce; Laid off or fired from work; Arrests or DUIs; Drugs harmed their health; In a drug treatment program; Suspended or expelled from school 2 or more times; Isolated self from family, caused arguments or were high a lot. ¿ALGÚN pariente consanguíneo de su niño(a) ha tenido alguna vez problemas debido a las drogas, tal como una separación o divorcio, despido o cese laboral, arrestos o multas por conducir bajo la influencia de drogas, Ingresó a un programa de tratamiento contra la drogadicción, suspensión o expulsión de la escuela en 2 o más ocasiones, se aisló de la familia, provocó conflictos o con frecuencia estaba drogado?",Medical History
"('fam_history_q5a_drugs___0', 'baseline_year_1_arm_1')_0.0",biological father Padre biolÃ³gico (No Problems Sin Problemas),Medical History
"('fam_history_q5a_drugs___0', 'baseline_year_1_arm_1')_1.0",biological father Padre biolÃ³gico (No Problems Sin Problemas),Medical History
"('fam_history_q5a_drugs___1', 'baseline_year_1_arm_1')_0.0",biological father Padre biolÃ³gico (Marital Matrimonial),Medical History
"('fam_history_q5a_drugs___1', 'baseline_year_1_arm_1')_1.0",biological father Padre biolÃ³gico (Marital Matrimonial),Medical History
"('fam_history_q5a_drugs___2', 'baseline_year_1_arm_1')_0.0",biological father Padre biolÃ³gico (Work Laboral),Medical History
"('fam_history_q5a_drugs___2', 'baseline_year_1_arm_1')_1.0",biological father Padre biolÃ³gico (Work Laboral),Medical History
"('fam_history_q5a_drugs___3', 'baseline_year_1_arm_1')_0.0",biological father Padre biolÃ³gico (Arrests/DUI Arrestos/DUI),Medical History
"('fam_history_q5a_drugs___3', 'baseline_year_1_arm_1')_1.0",biological father Padre biolÃ³gico (Arrests/DUI Arrestos/DUI),Medical History
"('fam_history_q5a_drugs___7', 'baseline_year_1_arm_1')_0.0",biological father Padre biolÃ³gico (Health Salud),Medical History
"('fam_history_q5a_drugs___7', 'baseline_year_1_arm_1')_1.0",biological father Padre biolÃ³gico (Health Salud),Medical History
"('fam_history_q5a_drugs___4', 'baseline_year_1_arm_1')_0.0",biological father Padre biolÃ³gico (Drug treatment program Programas por el uso de drogas),Medical History
"('fam_history_q5a_drugs___4', 'baseline_year_1_arm_1')_1.0",biological father Padre biolÃ³gico (Drug treatment program Programas por el uso de drogas),Medical History
"('fam_history_q5a_drugs___5', 'baseline_year_1_arm_1')_0.0",biological father Padre biolÃ³gico (School Escolares),Medical History
"('fam_history_q5a_drugs___5', 'baseline_year_1_arm_1')_1.0",biological father Padre biolÃ³gico (School Escolares),Medical History
"('fam_history_q5a_drugs___6', 'baseline_year_1_arm_1')_0.0","biological father Padre biolÃ³gico (Isolated self,  arguments,  was high a lot Se aÃ­slo de la familia,  Discusiones,  drogado/a con frecuencia)",Medical History
"('fam_history_q5a_drugs___6', 'baseline_year_1_arm_1')_1.0","biological father Padre biolÃ³gico (Isolated self,  arguments,  was high a lot Se aÃ­slo de la familia,  Discusiones,  drogado/a con frecuencia)",Medical History
"('fam_history_q5a_drugs___999', 'baseline_year_1_arm_1')_0.0",biological father Padre biolÃ³gico (Don't know No sÃ©),Medical History
"('fam_history_q5a_drugs___999', 'baseline_year_1_arm_1')_1.0",biological father Padre biolÃ³gico (Don't know No sÃ©),Medical History
"('fam_history_q5b_drugs___0', 'baseline_year_1_arm_1')_0.0",paternal grandfather Abuelo paterno (No Problems Sin Problemas),Medical History
"('fam_history_q5b_drugs___0', 'baseline_year_1_arm_1')_1.0",paternal grandfather Abuelo paterno (No Problems Sin Problemas),Medical History
"('fam_history_q5b_drugs___1', 'baseline_year_1_arm_1')_0.0",paternal grandfather Abuelo paterno (Marital Matrimonial),Medical History
"('fam_history_q5b_drugs___1', 'baseline_year_1_arm_1')_1.0",paternal grandfather Abuelo paterno (Marital Matrimonial),Medical History
"('fam_history_q5b_drugs___2', 'baseline_year_1_arm_1')_0.0",paternal grandfather Abuelo paterno (Work Laboral),Medical History
"('fam_history_q5b_drugs___2', 'baseline_year_1_arm_1')_1.0",paternal grandfather Abuelo paterno (Work Laboral),Medical History
"('fam_history_q5b_drugs___3', 'baseline_year_1_arm_1')_0.0",paternal grandfather Abuelo paterno (Arrests/DUI Arrestos/DUI),Medical History
"('fam_history_q5b_drugs___3', 'baseline_year_1_arm_1')_1.0",paternal grandfather Abuelo paterno (Arrests/DUI Arrestos/DUI),Medical History
"('fam_history_q5b_drugs___7', 'baseline_year_1_arm_1')_0.0",paternal grandfather Abuelo paterno (Health Salud),Medical History
"('fam_history_q5b_drugs___7', 'baseline_year_1_arm_1')_1.0",paternal grandfather Abuelo paterno (Health Salud),Medical History
"('fam_history_q5b_drugs___6', 'baseline_year_1_arm_1')_0.0","paternal grandfather Abuelo paterno (Isolated self,  arguments,  was high a lot Se aÃ­slo de la familia,  Discusiones,  drogado/a con frecuencia)",Medical History
"('fam_history_q5b_drugs___6', 'baseline_year_1_arm_1')_1.0","paternal grandfather Abuelo paterno (Isolated self,  arguments,  was high a lot Se aÃ­slo de la familia,  Discusiones,  drogado/a con frecuencia)",Medical History
"('fam_history_q5b_drugs___999', 'baseline_year_1_arm_1')_0.0",paternal grandfather Abuelo paterno (Don't know No sÃ©),Medical History
"('fam_history_q5b_drugs___999', 'baseline_year_1_arm_1')_1.0",paternal grandfather Abuelo paterno (Don't know No sÃ©),Medical History
"('fam_history_q5c_drugs___0', 'baseline_year_1_arm_1')_0.0",paternal grandmother Abuela paterna (No Problems Sin Problemas),Medical History
"('fam_history_q5c_drugs___0', 'baseline_year_1_arm_1')_1.0",paternal grandmother Abuela paterna (No Problems Sin Problemas),Medical History
"('fam_history_q5c_drugs___1', 'baseline_year_1_arm_1')_0.0",paternal grandmother Abuela paterna (Marital Matrimonial),Medical History
"('fam_history_q5c_drugs___1', 'baseline_year_1_arm_1')_1.0",paternal grandmother Abuela paterna (Marital Matrimonial),Medical History
"('fam_history_q5c_drugs___2', 'baseline_year_1_arm_1')_0.0",paternal grandmother Abuela paterna (Work Laboral),Medical History
"('fam_history_q5c_drugs___2', 'baseline_year_1_arm_1')_1.0",paternal grandmother Abuela paterna (Work Laboral),Medical History
"('fam_history_q5c_drugs___7', 'baseline_year_1_arm_1')_0.0",paternal grandmother Abuela paterna (Health Salud),Medical History
"('fam_history_q5c_drugs___7', 'baseline_year_1_arm_1')_1.0",paternal grandmother Abuela paterna (Health Salud),Medical History
"('fam_history_q5c_drugs___6', 'baseline_year_1_arm_1')_0.0","paternal grandmother Abuela paterna (Isolated self,  arguments,  was high a lot Se aÃ­slo de la familia,  Discusiones,  drogado/a con frecuencia)",Medical History
"('fam_history_q5c_drugs___6', 'baseline_year_1_arm_1')_1.0","paternal grandmother Abuela paterna (Isolated self,  arguments,  was high a lot Se aÃ­slo de la familia,  Discusiones,  drogado/a con frecuencia)",Medical History
"('fam_history_q5c_drugs___999', 'baseline_year_1_arm_1')_0.0",paternal grandmother Abuela paterna (Don't know No sÃ©),Medical History
"('fam_history_q5c_drugs___999', 'baseline_year_1_arm_1')_1.0",paternal grandmother Abuela paterna (Don't know No sÃ©),Medical History
"('fam_history_q5d_drugs___0', 'baseline_year_1_arm_1')_0.0",biological mother Madre biolÃ³gica (No Problems Sin Problemas),Medical History
"('fam_history_q5d_drugs___0', 'baseline_year_1_arm_1')_1.0",biological mother Madre biolÃ³gica (No Problems Sin Problemas),Medical History
"('fam_history_q5d_drugs___1', 'baseline_year_1_arm_1')_0.0",biological mother Madre biolÃ³gica (Marital Matrimonial),Medical History
"('fam_history_q5d_drugs___1', 'baseline_year_1_arm_1')_1.0",biological mother Madre biolÃ³gica (Marital Matrimonial),Medical History
"('fam_history_q5d_drugs___2', 'baseline_year_1_arm_1')_0.0",biological mother Madre biolÃ³gica (Work Laboral),Medical History
"('fam_history_q5d_drugs___2', 'baseline_year_1_arm_1')_1.0",biological mother Madre biolÃ³gica (Work Laboral),Medical History
"('fam_history_q5d_drugs___3', 'baseline_year_1_arm_1')_0.0",biological mother Madre biolÃ³gica (Arrests/DUI Arrestos/DUI),Medical History
"('fam_history_q5d_drugs___3', 'baseline_year_1_arm_1')_1.0",biological mother Madre biolÃ³gica (Arrests/DUI Arrestos/DUI),Medical History
"('fam_history_q5d_drugs___7', 'baseline_year_1_arm_1')_0.0",biological mother Madre biolÃ³gica (Health Salud),Medical History
"('fam_history_q5d_drugs___7', 'baseline_year_1_arm_1')_1.0",biological mother Madre biolÃ³gica (Health Salud),Medical History
"('fam_history_q5d_drugs___4', 'baseline_year_1_arm_1')_0.0",biological mother Madre biolÃ³gica (Drug treatment program Programas por el uso de drogas),Medical History
"('fam_history_q5d_drugs___4', 'baseline_year_1_arm_1')_1.0",biological mother Madre biolÃ³gica (Drug treatment program Programas por el uso de drogas),Medical History
"('fam_history_q5d_drugs___5', 'baseline_year_1_arm_1')_0.0",biological mother Madre biolÃ³gica (School Escolares),Medical History
"('fam_history_q5d_drugs___5', 'baseline_year_1_arm_1')_1.0",biological mother Madre biolÃ³gica (School Escolares),Medical History
"('fam_history_q5d_drugs___6', 'baseline_year_1_arm_1')_0.0","biological mother Madre biolÃ³gica (Isolated self,  arguments,  was high a lot Se aÃ­slo de la familia,  Discusiones,  drogado/a con frecuencia)",Medical History
"('fam_history_q5d_drugs___6', 'baseline_year_1_arm_1')_1.0","biological mother Madre biolÃ³gica (Isolated self,  arguments,  was high a lot Se aÃ­slo de la familia,  Discusiones,  drogado/a con frecuencia)",Medical History
"('fam_history_q5e_drugs___0', 'baseline_year_1_arm_1')_0.0",maternal grandfather Abuelo materno (No Problems Sin Problemas),Medical History
"('fam_history_q5e_drugs___0', 'baseline_year_1_arm_1')_1.0",maternal grandfather Abuelo materno (No Problems Sin Problemas),Medical History
"('fam_history_q5e_drugs___1', 'baseline_year_1_arm_1')_0.0",maternal grandfather Abuelo materno (Marital Matrimonial),Medical History
"('fam_history_q5e_drugs___1', 'baseline_year_1_arm_1')_1.0",maternal grandfather Abuelo materno (Marital Matrimonial),Medical History
"('fam_history_q5e_drugs___2', 'baseline_year_1_arm_1')_0.0",maternal grandfather Abuelo materno (Work Laboral),Medical History
"('fam_history_q5e_drugs___2', 'baseline_year_1_arm_1')_1.0",maternal grandfather Abuelo materno (Work Laboral),Medical History
"('fam_history_q5e_drugs___3', 'baseline_year_1_arm_1')_0.0",maternal grandfather Abuelo materno (Arrests/DUI Arrestos/DUI),Medical History
"('fam_history_q5e_drugs___3', 'baseline_year_1_arm_1')_1.0",maternal grandfather Abuelo materno (Arrests/DUI Arrestos/DUI),Medical History
"('fam_history_q5e_drugs___7', 'baseline_year_1_arm_1')_0.0",maternal grandfather Abuelo materno (Health Salud),Medical History
"('fam_history_q5e_drugs___7', 'baseline_year_1_arm_1')_1.0",maternal grandfather Abuelo materno (Health Salud),Medical History
"('fam_history_q5e_drugs___4', 'baseline_year_1_arm_1')_0.0",maternal grandfather Abuelo materno (Drug treatment program Programas por el uso de drogas),Medical History
"('fam_history_q5e_drugs___4', 'baseline_year_1_arm_1')_1.0",maternal grandfather Abuelo materno (Drug treatment program Programas por el uso de drogas),Medical History
"('fam_history_q5e_drugs___6', 'baseline_year_1_arm_1')_0.0","maternal grandfather Abuelo materno (Isolated self,  arguments,  was high a lot Se aÃ­slo de la familia,  Discusiones,  drogado/a con frecuencia)",Medical History
"('fam_history_q5e_drugs___6', 'baseline_year_1_arm_1')_1.0","maternal grandfather Abuelo materno (Isolated self,  arguments,  was high a lot Se aÃ­slo de la familia,  Discusiones,  drogado/a con frecuencia)",Medical History
"('fam_history_q5e_drugs___999', 'baseline_year_1_arm_1')_0.0",maternal grandfather Abuelo materno (Don't know No sÃ©),Medical History
"('fam_history_q5e_drugs___999', 'baseline_year_1_arm_1')_1.0",maternal grandfather Abuelo materno (Don't know No sÃ©),Medical History
"('fam_history_q5f_drugs___0', 'baseline_year_1_arm_1')_0.0",maternal grandmother Abuela materna (No Problems Sin Problemas),Medical History
"('fam_history_q5f_drugs___0', 'baseline_year_1_arm_1')_1.0",maternal grandmother Abuela materna (No Problems Sin Problemas),Medical History
"('fam_history_q5f_drugs___1', 'baseline_year_1_arm_1')_0.0",maternal grandmother Abuela materna (Marital Matrimonial),Medical History
"('fam_history_q5f_drugs___1', 'baseline_year_1_arm_1')_1.0",maternal grandmother Abuela materna (Marital Matrimonial),Medical History
"('fam_history_q5f_drugs___2', 'baseline_year_1_arm_1')_0.0",maternal grandmother Abuela materna (Work Laboral),Medical History
"('fam_history_q5f_drugs___2', 'baseline_year_1_arm_1')_1.0",maternal grandmother Abuela materna (Work Laboral),Medical History
"('fam_history_q5f_drugs___3', 'baseline_year_1_arm_1')_0.0",maternal grandmother Abuela materna (Arrests/DUI Arrestos/DUI),Medical History
